NOMBRES,N° PAREJA,CALIFICACIÓN DE 2 A 7 PUNTOS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PUNTAJE TOTAL,CLASIFICACIÓN
,,Enrique,Gloria (*),Lita,Silvia,Liodmila,,
,,,,,,,,
Godofredo Gonzáles y Gladys Antonieta Silva,285.0,6,5,6,4,5,26.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
,,,,,,,0.0,
